0,Do they have help for disabled parking?;
0,Is a VISA card acceptable for this booking?;
0,Does this hotel offer WiFi to guests?;
1,Does Nandos City Centre allow diners to bring their own alcohol to have with dinner?;
1,Do they deliver?;
1,Do they have any baby chairs available?;
1,Do they have live music there?;
1,Do they have patio seating or anything in the open air for diners at Lock Fyne?;
2,Will there be an additional charge for the toll gate on the route?;
0,Are kids allowed to stay here?;
0,Does the hotel offer valet service since I'm handicapped and need help parking my car?;
1,Do they have extra seating for babies?;
1,Does this restaurant accept American Express?;
2,Can I pay with Amex on my ride?;
0,Is there a designated smoking area for people at The Acorn Guest House?;
1,Does the La Tasca have disabilty access?;
0,Will I be able to pay for it with my Amex?;
2,Will I be able to cancel if I need to later.;
0,Do they have a spa onsite?;
1,Can you tell me if they have infant seats available for guests dining with babies?;
0,can kids stay at the hotel;
1,What can they do for me who is wheelchair-bound;
0,Can I get my dry cleaning done at this hotel?;
2,May I cancel my taxi booking later?;
0,Is there a fitness center onsite at the hotel?;
0,Does The Ashley Hotel take Master card for payment?;
2,Am I able to pay for the taxi with a Mastercard?;
0,Am I allowed to smoke at this hotel?;
0,Can you first tell me whether this hotel provides an Italian breakfast in the mornings?;
0,Do I need to make a parking reservation?;
0,Are kids allowed to stay at the property?;
1,Do they have high chairs for small children or babies?;
2,What is the taxi company's policy about making changes to your reservation?;
1,Do they also have some options for gluten-free dieters?;
1,Does the restaurant accept takeout orders?;
1,How can the restaurant help me get access?;
0,Do they allow smoking here?;
0,What about outside, is there a designated smoking area?;
2,Will I be permitted to cancel the taxi booking, if I have to at a later time?;
2,Thank you. Does the taxi company accept Visa?;
1,Before that I need to make sure I can get a baby chair at the restaurant.;
1,It might. Can you tell me if they have a delivery service?;
1,Does the restaurant have a chair for babies?;
1,It will work if they have vegetarian options, can you check that?;
0,We need to have a extra bed. Can we get a rollaway?;
1,Do you know if Pizza Express accepts to-go orders?;
2,What do I do if I needed to cancel this taxi?;
1,Do they have vegetarian options?;
0,Does the hotel offer concierge services for guests?;
0,Yes, is Italian breakfast offered at The University Arms Hotel like others I've heard of?;
0,Is there a swimming pool onsite at University Arms?;
0,What are the parking options at the University Arms Hotel?;
0,Does the hotel charge a fee for parking?;
1,Does this restaurant have outdoor seating?;
0,Does this hotel allow children to stay there?;
0,We require a smoking room, is that available?;
0,Is there a designated smoking area outside?;
1,Do you know if Zizzi Cambridge serves alcohol?;
0,Is WiFi available for guests at the hotel?;
0,Do they offer shuttle service to the train station?;
0,Are there cooking facilities for guests?;
2,Can I pay for that taxi with a credit card?;
2,May I cancel my taxi booking later?;
2,Do I have to pay additional for tolls?;
2,If i need to cancel the taxi for any reason, will I be charged a fee?;
0,I would, but first I want to know if there's a fitness center onsite?;
2,If I cancel the taxi, will there be a fee?;
0,May I have an extra bed in my room?;
1,Does the Michaelhouse Cafe have live music?;
1,Are there any gluten free options for people like me?;
1,One more question. Does La Raza allow guests to BYOB?;
2,One more thing: I might need to cancel the taxi booking later, and if I do, would I face a cancellation fee?;
0,Does the hotel have an area that is designated for smoking?;
2,If I need to cancel my taxi, will I be charged a fee?;
2,Can I pay for the taxi with cash?;
2,Can I change that booking later if I need to?;
2,How long is the cancellation period?;
1,Does the restaurant offer delivery?;
0,Does the University Arms Hotel have a designated smoking area?;
0,Is a security deposit needed there?;
0,Will I be able to pay with my Visa Card?;
0,What are the parking options for guests at the hotel?;
0,I need to know, are kids allowed?;
1,Will Oak Bistro provide special seating for my 2-year old;
2,Just in case my plans change, what if I need to cancel the taxi reservation?;
0,Does this hotel allow smoking in the room?;
0,Is there a kitchenette or anywhere in the place I can cook?;
0,Is there an age restriction for guests to check in there?;
0,Can you tell me if this place has a lift?;
2,If I have to cancel my taxi booking, will there be a cancellation fee?;
0,What does the hotel charge for parking?;
0,Do you know if this hotel also charge for wifi separately?;
1,Are there any gluten free foods offered there?;
0,Does the Limehouse offer concierge services?;
0,Are any parking facilities available for guests at Limehouse?;
1,I need to know if this place serves alcohol please?;
2,Yes, I'd like to know if I can pay for the taxi with a Visa catd?;
1,Does Cocum offer any vegetarian menu options?;
0,Does the hotel allow smoking?;
0,How about outside, is there a designated smoking area?;
0,Does this place allow children?;
0,Does this hotel offer free wifi?;
0,Will they be able to help me park my car since I am disabled?;
1,Does the restaurant offer delivery services?;
0,it may work if i can smoke there. Can i ?;
0,Is there designated outdoor smoking areas?;
1,Does J Restaurant offer delivery services?;
0,Is there wifi available here?;
0,What is the check in time for that hotel reservation?;
0,Not yet, can you first tell me whether my cat will be able to stay with me at Finches Bed and Breakfast?;
0,Is there a meeting or banquet facility at this hotel?;
2,May I cancel my taxi booking later?;
0,Would this guesthouse charge me a fee for using the WiFi there?;
0,Am I going to have to pay additional charges for staying with my cat?;
1,Does J restaurant serve alcohol?;
1,Do they have seating for my baby who'll be with our party?;
1,Does Saffron Brasserie accept Mastercard as payment?;
1,Does saffron brasserie offer vegetarian food options?;
1,Do you know if any outdoor seating is available at Curry Garden?;
1,Can I pay with a VISA for that restaurant?;
2,Does  the taxi accept payment with Visa?;
0,Will I be able to use a credit card to pay for this booking?;
1,Does the restaurant accept a credit card for payment?;
0,I also need a hotel that offers shuttle service to and from the airport.;
0,Does Alexander Bed and Breakfast offer room service?;
0,Does the hotel offer wifi for guests?;
0,Do they accept Visa?;
0,Do they have a fitness center?;
0,What time will I be able to check in?;
0,Does the Express By Holiday Inn allow children?;
2,May I pay for my taxi in cash?;
0,Can I pay with cash at the hotel?;
0,Does the hotel have a onsite concierge service?;
2,We are going to be going through a toll. Will I have to pay extra for this?;
0,Do they have someone at the B&B who could help me park my car since I am disabled?;
1,Do they have any vegetarian options at that restaurant?;
1,Do you know if the Royal Standard has vegetarian options?;
0,Am I able to access a handicap room?;
0,I'll be driving, does the hotel have a parking facility?;
1,Do they have a delivery service available?;
1,Does the restaurant have any food that is gluten-free?;
2,Can I cancel this later if I need to?;
0,Does this hotel have a spa onsite?;
2,Will I be able to change this taxi booking if I need to later?;
2,How long is the cancellation period?;
1,Does Kohinoor offer guest to go ordering?;
1,Do they allow BYOB?;
1,Does the restaurant offer vegetarian options?;
0,Do they have a guest concierge service there?;
0,Could you let me know if I could get an extra bed in the room?;
